ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
4764,1,1,F070802060406_50 - Go To Location 1,2,1,4764,,,,,,,,,27.62750233,,36.56877241,,0.415749358
4765,1,1,F070802060406_85 - Go To Location 1,1,1,4765,,,,,,,,,29.25958372,,36.04982306,,0.404484978
4766,1,1,F070802060406_90 - Go To Location 1,1,1,4766,,,,,,,,,30.85931139,,38.7589649,,0.434667382
4767,1,1,F070802060406_91 - Go To Location 1,2,1,4767,,,,,,,,,31.07749556,,39.32344128,,0.440041459
4768,1,1,F070802060406_93 - Go To Location 1,1,1,4768,,,,,,,,,31.02768927,,38.93294444,,0.436649368
4769,1,1,F070802060406_96 - Go To Location 1,1,1,4769,,,,,,,,,29.52328758,,37.7409891,,0.424773826
4770,1,1,F070802060406_103 - Go To Location 1,1,1,4770,,,,,,,,,28.29961532,,36.86909202,,0.416924607
4771,1,1,F070802060406_104 - Go To Location 1,1,1,4771,,,,,,,,,27.60840874,,36.54078993,,0.41541283
4772,1,1,F070802060406_105 - Go To Location 1,2,1,4772,,,,,,,,,28.55061295,,37.12308331,,0.4192114
4773,1,1,F070802060406_107 - Go To Location 1,1,1,4773,,,,,,,,,30.64564475,,39.23014408,,0.439415072
4774,1,1,F070802060406_109 - Go To Location 1,2,1,4774,,,,,,,,,32.96797072,,53.12340613,,0.583580253
4775,1,1,F070802060406_110 - Go To Location 1,2,1,4775,,,,,,,,,30.81981973,,37.99093177,,0.423234373
4776,1,1,F070802060406_111 - Go To Location 1,2,1,4776,,,,,,,,,29.46327935,,38.07374594,,0.428935346
4777,1,1,F070802060406_113 - Go To Location 1,1,1,4777,,,,,,,,,32.89649253,,53.04876032,,0.582702239
4778,1,1,F070802060406_114 - Go To Location 1,2,1,4778,,,,,,,,,30.96603494,,38.38428925,,0.429436565
4779,1,1,F070802060406_116 - Go To Location 1,2,1,4779,,,,,,,,,29.56646849,,36.1806214,,0.405827198
4780,1,1,F070802060406_120 - Go To Location 1,2,1,4780,,,,,,,,,26.28179737,,34.45132751,,0.389061359
4781,1,1,F070802060406_122 - Go To Location 1,1,1,4781,,,,,,,,,26.5078818,,34.92786167,,0.396015556
4782,1,1,F070802060406_123 - Go To Location 1,1,1,4782,,,,,,,,,26.32985524,,34.66693011,,0.392877702
4783,1,1,F070802060406_126 - Go To Location 1,2,1,4783,,,,,,,,,28.70543333,,37.00509192,,0.412545342
4784,1,1,F070802060406_127 - Go To Location 1,2,1,4784,,,,,,,,,28.56950683,,36.8510382,,0.411137612
4785,1,1,F070802060406_128 - Go To Location 1,1,1,4785,,,,,,,,,30.76781569,,37.93683957,,0.422598117
