OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,SUM_cropAcres,SUM_pctWScropAcres,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,ReducedCostTon,MLRA,HUC12
85,F070801010301_462,1814.864947,15545.45496,3.839727402,157.4288177,63,788.6032104,10.83688831,0.001425081,36.05395889,72108,34.25126266,12622.64564,946.0320435,27.62035561,108c,070801010301
86,F070801010301_464,2690.976023,23558.42686,5.81893158,238.5762024,57,1081.273804,14.95152855,0.001966168,52.46648026,104933,49.84315491,18368.73835,1319.849976,26.48006439,108c,070801010301
87,F070801010301_465,1955.312251,16565.36747,4.091645718,167.7574768,62,827.003418,12.22114277,0.001607115,32.14691544,64294,30.53956985,11254.77248,994.7608643,32.57285309,108c,070801010301
88,F070801010301_466,1023.565386,8608.965303,2.126414537,87.18299866,69,478.3156433,4.354275584,0.000572599,11.5530448,23106,10.97539234,4044.770252,565.4986572,51.52423096,108c,070801010301
89,F070801010301_467,2141.957848,18017.54702,4.450334072,182.4636993,64,928.5177002,12.15739441,0.001598732,35.65915298,71318,33.876194,12484.42128,1110.981445,32.79534531,108c,070801010301
90,F070801010301_48,2539.62172,21645.69934,5.346487522,219.2059937,70,1220.068481,23.16019029,0.00304563,39.6849865,79368,37.70073709,13893.88326,1439.274414,38.17629242,108c,070801010301
91,F070801010301_50,5215.708536,45564.21425,11.25436115,461.4288025,66,2421.488281,32.91533567,0.004328459,83.18571617,166371,79.02643114,29123.67484,2882.916992,36.48041534,108c,070801010301
92,F070801010301_51,2317.586951,20410.00746,5.041271687,206.6921387,59,969.6381836,16.99700499,0.002235154,33.53981042,67079,31.86281943,11742.43072,1176.330322,36.91858673,108c,070801010301
93,F070801010301_510,3503.013214,30189.81171,7.45688343,305.7322083,73,1774.589111,21.68462396,0.002851589,35.72556114,71451,33.93928242,12507.67131,2080.321289,61.29538345,108c,070801010301
94,F070801010301_52,2491.04365,22000.0062,5.434001446,222.7940521,62,1098.320313,19.26327324,0.002533175,46.72302246,93446,44.38687134,16357.92974,1321.11438,29.76362991,108c,070801010301
95,F070801010301_529,3417.351925,30730.85293,7.590520859,311.2113647,56,1385.725342,25.1348381,0.003305302,77.32225037,154644,73.45613861,27070.85041,1696.936768,23.10136032,108c,070801010301
96,F070801010301_530,5234.341833,46485.48996,11.48191643,470.7585754,78,2919.621826,39.64733487,0.005213736,110.797659,221596,105.2577746,38790.73315,3390.380371,32.2102623,108c,070801010301
97,F070801010301_533,936.4745678,8037.53212,1.985270381,81.39608765,62,401.2628479,5.97132142,0.000785246,3.203931336,6408,3.043734853,1121.710077,482.6589355,158.5745697,108c,070801010301
98,F070801010301_534,1146.359515,9956.028177,2.45913887,100.8246918,41,328.6885071,5.99246788,0.000788026,3.041169167,6082,2.889110804,1064.726351,429.5131836,148.666214,108c,070801010301
99,F070801010301_93,1539.76588,13290.26126,3.282694578,134.5904846,89,952.4411011,9.136285067,0.001201447,3.665302634,7331,3.482037365,1283.238058,1087.031616,312.1826477,108c,070801010301
100,F070801010301_97,3361.830649,29163.21555,7.203314304,295.3358765,92,2160.417969,21.2715699,0.002797271,24.09804582,48195,22.8931431,8436.828619,2455.753906,107.2702789,108c,070801010301
101,F070801010301_99,5007.635426,43500.7483,10.74468517,440.5321045,86,3012.379883,24.01942253,0.003158622,33.11474597,66230,31.45900869,11593.61402,3452.912109,109.7590866,108c,070801010301
102,F070801010302_127,6894.956096,60191.90663,14.86740112,609.5634766,73,3538.144043,44.92034626,0.005907152,106.0066638,212014,100.7063293,37113.38533,4147.70752,41.18616486,108c,070801010302
103,F070801010302_26,5478.310698,47229.17497,11.6656065,478.289856,79,3004.360352,39.14438438,0.005147597,63.07782936,126156,59.92393589,22083.81676,3482.650146,58.11784744,108c,070801010302
104,F070801010302_42,6836.375603,60144.38116,14.85566235,609.0821533,74,3583.780029,51.69925594,0.006798598,83.23977232,166479,79.07778406,29142.59998,4192.862305,53.02199936,108c,070801010302
105,F070801010302_84,5566.829698,48802.13883,12.05412865,494.2192688,82,3222.30957,38.06878281,0.005006152,19.99957108,39999,18.99959242,7001.935225,3716.528809,195.6109772,108c,070801010302
106,F070801010403_16,19906.1363,173886.6339,42.94999695,1760.949829,85,11901.44531,139.3503377,0.018324962,255.0460243,510092,242.2937196,89292.70126,13662.39551,56.38774109,108c,070801010403
107,F070801010403_170,3735.307285,33116.53962,8.179785728,335.3712158,83,2213.286377,30.01204339,0.003946668,35.3239696,70647,33.55777162,12367.07283,2548.657715,75.94835663,108c,070801010403
108,F070801010403_185,3729.291954,32524.93888,8.033659935,329.3800659,61,1597.573608,19.74480554,0.002596497,65.31953299,130639,62.05355692,22868.64772,1926.953613,31.05307198,108c,070801010403
109,F070801010403_20,3621.370048,31797.95943,7.854095936,322.0179443,73,1869.117798,25.86435235,0.003401235,31.39919376,62798,29.82923341,10992.99161,2191.135742,73.45598602,108c,070801010403
110,F070801010403_212,2567.651803,21904.01819,5.410292625,221.821991,57,1005.340576,17.06308031,0.002243843,9.450290717,18901,8.977776423,3308.587236,1227.162598,136.6889191,108c,070801010403
111,F070801010403_23,9835.896299,86257.33862,21.30556297,873.5280762,75,5209.209961,64.01945485,0.008418738,117.5104351,235021,111.6349134,41140.90529,6082.738281,54.48777771,108c,070801010403
112,F070801010403_233,5116.512329,45210.10641,11.16689587,457.8427429,79,2875.922363,36.50439933,0.004800431,49.09701791,98195,46.64216679,17189.0756,3333.765137,71.47534943,108c,070801010403
113,F070801010403_235,1817.73434,15311.35958,3.78190589,155.058136,82,1010.979004,11.6754346,0.001535353,14.00138854,28003,13.30131918,4901.94596,1166.037109,87.66326904,108c,070801010403
