biomass,price,yield,costs,npv,transport,,,,,,,,,,
cereal rye,20,5,delivered cost,-249, 8 km ,,,,,,,,,,
cereal rye,30,1,delivered cost,-277, 8 km ,,,,,,,,,,
cereal rye,30,3,delivered cost,-236, 8 km ,,,,,,,,,,
cereal rye,30,5,delivered cost,-196, 8 km ,,,,,,,,,,
cereal rye,40,1,delivered cost,-266, 8 km ,,,,,,,,,,
cereal rye,40,3,delivered cost,-205, 8 km ,,,,,,,,,,
cereal rye,40,5,delivered cost,-143, 8 km ,,,,,,,,,,
cereal rye,50,1,delivered cost,-255, 8 km ,,,,,,,,,,
cereal rye,50,3,delivered cost,-173, 8 km ,,,,,,,,,,
cereal rye,50,5,delivered cost,-90, 8 km ,,,,,,,,,,
cereal rye,60,1,delivered cost,-245, 8 km ,,,,,,,,,,
cereal rye,60,3,delivered cost,-141, 8 km ,,,,,,,,,,
cereal rye,60,5,delivered cost,-37, 8 km ,,,,,,,,,,
cereal rye,70,1,delivered cost,-234, 8 km ,,,,,,,,,,
cereal rye,70,3,delivered cost,-109, 8 km ,,,,,,,,,,
cereal rye,70,5,delivered cost,16, 8 km ,,,,,,,,,,
cereal rye,80,1,delivered cost,-224, 8 km ,,,,,,,,,,
cereal rye,80,3,delivered cost,-77, 8 km ,,,,,,,,,,
cereal rye,80,5,delivered cost,69, 8 km ,,,,,,,,,,
cereal rye,90,1,delivered cost,-213, 8 km ,,,,,,,,,,
cereal rye,90,3,delivered cost,-46, 8 km ,,,,,,,,,,
cereal rye,90,5,delivered cost,122, 8 km ,,,,,,,,,,
cereal rye,100,1,delivered cost,-202, 8 km ,,,,,,,,,,
cereal rye,100,3,delivered cost,-14, 8 km ,,,,,,,,,,
cereal rye,100,5,delivered cost,175, 8 km ,,,,,,,,,,
cereal rye,110,1,delivered cost,-192, 8 km ,,,,,,,,,,
cereal rye,110,3,delivered cost,18, 8 km ,,,,,,,,,,
cereal rye,110,5,delivered cost,228, 8 km ,,,,,,,,,,
cereal rye,120,1,delivered cost,-181, 8 km ,,,,,,,,,,
cereal rye,120,3,delivered cost,50, 8 km ,,,,,,,,,,
cereal rye,120,5,delivered cost,281, 8 km ,,,,,,,,,,
cereal rye,130,1,delivered cost,-171, 8 km ,,,,,,,,,,
cereal rye,130,3,delivered cost,82, 8 km ,,,,,,,,,,
cereal rye,130,5,delivered cost,334, 8 km ,,,,,,,,,,
cereal rye,140,1,delivered cost,-160, 8 km ,,,,,,,,,,
cereal rye,140,3,delivered cost,113, 8 km ,,,,,,,,,,
cereal rye,140,5,delivered cost,387, 8 km ,,,,,,,,,,
cereal rye,20,1,delivered cost,-294, 16 km ,,,,,,,,,,
cereal rye,20,3,delivered cost,-287, 16 km ,,,,,,,,,,
cereal rye,20,5,delivered cost,-281, 16 km ,,,,,,,,,,
cereal rye,30,1,delivered cost,-283, 16 km ,,,,,,,,,,
cereal rye,30,3,delivered cost,-255, 16 km ,,,,,,,,,,
cereal rye,30,5,delivered cost,-228, 16 km ,,,,,,,,,,
cereal rye,40,1,delivered cost,-272, 16 km ,,,,,,,,,,
cereal rye,40,3,delivered cost,-224, 16 km ,,,,,,,,,,
cereal rye,40,5,delivered cost,-175, 16 km ,,,,,,,,,,
cereal rye,50,1,delivered cost,-262, 16 km ,,,,,,,,,,
cereal rye,50,3,delivered cost,-192, 16 km ,,,,,,,,,,
cereal rye,50,5,delivered cost,-122, 16 km ,,,,,,,,,,
