biomass,price,yield,costs,npv,transport,,,,,,,,,,
cereal rye,110,3,delivered cost,-17, 24 km ,,,,,,,,,,
cereal rye,110,5,delivered cost,170, 24 km ,,,,,,,,,,
cereal rye,120,1,delivered cost,-193, 24 km ,,,,,,,,,,
cereal rye,120,3,delivered cost,15, 24 km ,,,,,,,,,,
cereal rye,120,5,delivered cost,223, 24 km ,,,,,,,,,,
cereal rye,130,1,delivered cost,-182, 24 km ,,,,,,,,,,
cereal rye,130,3,delivered cost,47, 24 km ,,,,,,,,,,
cereal rye,130,5,delivered cost,276, 24 km ,,,,,,,,,,
cereal rye,140,1,delivered cost,-172, 24 km ,,,,,,,,,,
cereal rye,140,3,delivered cost,78, 24 km ,,,,,,,,,,
cereal rye,140,5,delivered cost,329, 24 km ,,,,,,,,,,
cereal rye,20,1,delivered cost,-306, 32 km ,,,,,,,,,,
cereal rye,20,3,delivered cost,-325, 32 km ,,,,,,,,,,
cereal rye,20,5,delivered cost,-344, 32 km ,,,,,,,,,,
cereal rye,30,1,delivered cost,-296, 32 km ,,,,,,,,,,
cereal rye,30,3,delivered cost,-294, 32 km ,,,,,,,,,,
cereal rye,30,5,delivered cost,-291, 32 km ,,,,,,,,,,
cereal rye,40,1,delivered cost,-285, 32 km ,,,,,,,,,,
cereal rye,40,3,delivered cost,-262, 32 km ,,,,,,,,,,
cereal rye,40,5,delivered cost,-238, 32 km ,,,,,,,,,,
cereal rye,50,1,delivered cost,-275, 32 km ,,,,,,,,,,
cereal rye,50,3,delivered cost,-230, 32 km ,,,,,,,,,,
cereal rye,50,5,delivered cost,-185, 32 km ,,,,,,,,,,
cereal rye,60,1,delivered cost,-264, 32 km ,,,,,,,,,,
cereal rye,60,3,delivered cost,-198, 32 km ,,,,,,,,,,
cereal rye,60,5,delivered cost,-132, 32 km ,,,,,,,,,,
cereal rye,70,1,delivered cost,-253, 32 km ,,,,,,,,,,
cereal rye,70,3,delivered cost,-166, 32 km ,,,,,,,,,,
